city,target,week,value,source,metric
Los Angeles,rsv,2026-03-01,104.73018969772342,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-03-08,2.779211622981112,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-03-15,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-03-22,2.709212727596471,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-03-29,3.5615458336942027,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-04-05,1.8876627509629416,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-04-12,1.876757527483293,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-04-19,0.5301863730231562,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-04-26,0.4527748087105141,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-05-03,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-05-10,0.7497904978006634,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-05-17,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-05-24,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-05-31,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-06-07,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-06-14,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-06-21,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-06-28,0.6040964851631695,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,rsv,2026-07-05,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
